PM10;PM2.5;OZONO;CO;NO2;SO2
52;28;10,1;0,3;13,3;0
30;17;12,2;0,1;8,1;0
27;17;8,5;0,1;9,7;0
28;9;5,4;0,2;8,9;0
28;12;0,8;0,5;13,2;0
43;20;0,6;0,6;13,5;0
46;30;0,6;0,6;11,4;0
42;22;0,7;0,4;9,6;0
37;23;0,6;0,4;9,8;0
38;22;0,7;0,3;9,1;0
45;21;0,6;0,6;9,9;0
51;30;0,8;1,5;15,9;0
82;49;0,8;1,4;13,2;0
58;39;3,7;0,6;12,2;0
58;33;10,2;0,3;8,3;0
53;36;19,7;0,2;5,4;0
36;23;28,3;0;1,7;0
13;6;29,9;0;0,8;0
18;7;30,8;0;1,1;0
18;1;29,5;0,1;2,8;0
19;1;28,1;0,1;3,9;0
10;6;27,3;0,1;5,2;0
15;3;28,7;0,1;6,1;0
24;7;42,2;0,1;3,9;0
44;27;18,1;0,2;10,3;0
33;10;10,8;0,2;14,9;0
28;20;11,4;0,2;13,5;0
33;17;4;0,3;16,9;0
38;18;1;0,3;18,2;0
34;18;0,8;0,4;17;0
40;14;0,7;0,2;16,2;0
31;17;1,7;0,2;13,9;0
32;14;1,1;0,2;12,8;0
40;16;0,7;0,3;13,8;0
42;25;0,6;0,3;11,3;0
40;24;0,7;0,5;11,8;0
60;41;0,8;0,7;12,5;0
59;35;3,5;0,6;11,3;0
60;30;11,3;0,4;9,6;0
56;31;26,5;0,3;7,2;0
44;27;38,6;0,1;3,5;0
32;18;45,9;0,1;2,3;0
40;15;46,6;0,1;0,8;0
31;14;39;0,1;1,7;0
18;7;36,9;0,1;1,4;0
22;4;47,7;0,1;1,7;0
47;26;45,1;0,1;2;0
39;27;42,2;0,1;2;0
37;22;38;0,1;3,9;0
43;30;32,3;0,2;6,1;0
46;27;19,8;0,2;10,4;0
35;21;14,4;0,2;10;0
33;22;11,2;0,2;12,8;0
31;19;5,6;0,3;17,4;0
40;19;1,8;0,3;18,8;0
37;22;0,7;0,3;16,4;0
38;21;0,6;0,4;15,1;0
38;27;0,6;0,2;14,1;0
31;25;0,6;0,7;12,6;0
58;38;0,6;0,4;11,5;0
60;30;1,2;0,4;11,5;0
43;31;1,9;0,9;12,5;0
54;41;7,5;0,8;14,3;0
70;41;29,9;0,4;9,6;0
48;34;43,9;0,2;4,8;0
38;23;49,3;0,2;2,4;0
28;19;52;0,1;1,9;0
29;21;51,4;0,2;2,5;0
51;26;77,4;0,3;4;0
64;43;67,8;0,2;2,9;0
57;35;46,8;0,1;2;0
35;23;36,9;0,1;2,6;0
36;23;13,6;0,4;18,3;0
42;24;14,6;0,3;12,2;0
26;15;5;0,4;17,8;0
33;17;4,5;0,8;15,4;0
48;28;0,7;1,1;17,4;0
56;29;0,7;1,3;15,6;0
63;33;0,6;1,2;13,1;0
51;27;0,6;0,9;11,4;0
37;20;0,6;1;8,3;0
37;25;0,7;0,7;7,9;0
33;26;0,6;0,5;9,1;0
39;19;1,1;0,2;9,4;0
25;16;1,4;0,5;9;0
33;27;5;0,5;8,7;0
41;28;11;0,4;8,8;0
0;24;26,6;0,2;6;0
37;23;34,9;0,1;1,9;0
27;15;41;0,1;0,5;0
21;8;36,4;0,1;1,3;0
26;6;34,3;0,1;2,8;0
30;9;66,8;0,2;2,7;0
45;27;52,4;0,1;1,7;0
38;25;36,5;0,1;2,4;0
37;20;22,4;0,1;4,1;0
21;7;19,4;0,3;6,2;0
19;8;18;0,2;8,3;0
24;12;10,5;0,3;14;0
32;24;7,8;0,3;13,6;0
27;14;0,9;0,9;17,1;0
60;26;0,9;1,4;18,1;0
83;40;0,8;1,4;15;0
79;31;0,7;0,8;12;0
54;19;0,6;0,6;11;0
48;20;0,7;0,5;11,2;0
50;23;0,7;0,4;10;0
52;29;0,7;0,4;11,8;0
46;24;0,9;0,5;9,7;0
52;27;3;1;14,3;0
81;45;10,3;0,6;11,9;0
64;30;24,3;0,4;7,6;0
41;15;35,3;0,2;2,7;0
32;22;41,3;0,1;2,1;0
33;13;43;0,1;1;0
27;12;0;0;0;0
52;21;44,8;0,1;2,3;0
42;19;40,3;0,1;3,4;0
48;27;36,9;0,1;2;0
37;14;32,7;0,1;0,7;0
27;20;27,4;0,1;1,9;0
27;15;26;0,1;2,9;0
26;12;7,1;0,5;17,2;0
39;24;2,9;0,5;17,8;0
33;22;0,7;0,9;17,4;0
41;28;0,4;0,6;13,4;0
36;25;0,5;0,8;11,4;0
38;27;0,3;0,8;9,3;0
49;36;0,4;0,6;8,2;0
38;26;0,4;0,6;8,6;0
38;25;0,5;0,3;8,4;0
38;23;0,3;0,2;8,5;0
36;18;0,8;0,3;8,9;0
38;29;3,6;0,5;9,5;0
55;34;10,8;1;11,8;0
60;38;20,7;0,6;11,6;0
49;26;36,5;0,2;3,3;0
34;18;45,5;0,1;1,7;0
25;16;52,9;0,1;1,1;0
29;12;51,1;0,1;0,7;0
42;18;43,4;0,1;0,7;0
44;19;41;0,1;0,3;0
40;18;39,2;0,1;0,5;0
45;26;36;0,1;1;0
50;39;28,5;0,1;3,1;0
36;22;18;0,3;8;0
36;31;0,5;0,9;21,6;0
63;42;0,5;1,4;18,8;0
86;49;0,5;0,8;14,5;0
58;29;0,4;0,8;12,2;0
52;28;0,6;0,5;14;0
39;26;0,6;0,4;12,7;0
45;18;0,6;0,2;14,8;0
31;19;0,6;0,3;12,5;0
40;32;0,7;0,4;10,9;0
54;30;0,6;0,5;13,2;0
58;37;0,8;0,7;11,7;0
58;37;1,7;0,9;12,4;0
83;35;7,6;1,2;15,3;0
77;44;35,4;0,4;6,6;0
45;36;48,9;0,2;3,5;0
44;28;57;0,2;3,4;0
44;26;63,6;0,2;2,6;0
45;27;62,4;0,1;1,5;0
35;20;60,3;0,1;2,2;0
65;32;61,7;0,2;2,1;0
57;36;58,2;0,1;2,4;0
55;36;48,9;0,2;3,1;0
50;37;41,4;0,1;3,3;0
53;30;35,3;0,2;5;0
51;36;28,7;0,2;7,5;0
53;38;7,6;0,6;20,3;0
69;40;0,6;1;22,9;0
68;44;1,4;0,9;19,1;0
60;44;0,5;0,5;14,6;0
49;33;2,3;0,4;12,2;0
48;26;0,6;0,5;11,8;0
52;30;0,5;0,4;14;0
49;30;0,8;0,2;15,5;0
57;31;0,6;0,3;14,8;0
55;28;0,9;0,4;13,8;0
65;42;5,6;0,3;11,4;0
48;39;23,6;0,2;3,1;0
33;23;33,6;0,1;1,1;0
26;13;40,8;0,1;0,8;0
31;11;39,7;0,1;1,3;0
30;9;32,3;0,1;0,8;0
19;18;32;0,1;1,1;0
22;16;71,6;0,2;4;0
72;40;53,4;0,1;2,7;0
67;36;41,2;0,1;2,5;0
42;27;24,7;0,1;6,7;0
34;14;27,8;0,1;3,5;0
24;14;25,8;0,1;4,2;0
26;13;24,6;0,1;4,1;0
31;16;24,8;0,1;5,1;0
25;17;28,5;0,1;2,7;0
